,Text,Text Classification
397,i was looking forward for arriving of the watch it was not a problem pairing it with my iphone12 i really like great additional features like ekg  but i there was a bit problem the batteries did not last it was losing charge like crazy i was charging it every 16 hours on average i bought for an upcoming trip so batteries life is very important i will buy this watch again when they address and improve their batteries ps it is a great looking watch with wonderful functions i wish i could have given it more than 3 stars,battery
398,in love with my apple watch first one i have ever owned so i am really happy that i got the latest model,screen
399,only last about 10 hrs 11hrs before wanting to be charged which is frustrating and makes me not wanting to wear it why would anyone want to keep charging a watch apple must step up their game watches should last a few days especially if ur trying to use it for safety while out and about makes their recent commercials seems like bs,battery
400,great watch but battery life could be better,battery
401,full battery used only max one day,battery
402,this product is top of the line what do you expect it is apple watch,screen
403,overall this watch does everything i expected and does it all very well the biggest downside is the battery life it is mediocre at best especially if you are coming from a more traditional fitness tracker style watch,battery
404,latest feature packed,screen
405,original apple product came all right nf sent by email and tmb along with the product arrived extremely fast and very well packed I am very happy with the purchase,strap
406,product was suppose to be new but came with a used watch which had an activation lock on it it took me 2 weeks with multiple emails to apple to convinced them i am the legal owner of the watch,others
407,great watch wonderful but apple battery lasts little but it is an excellent device I love it I recommend,battery
408,upgraded to the series 7 after my son broke my series 5 and man this is thing is a beauty this is my first time buying a stainless steel one and the gold really pops it really does look like a dime piece more elegant,others
409,what sense does it make to send the watch and the power cable but not the connector for the cable to the outlet it was necessary for me to order the connector at additional expense and delay in using the watch one would think you guys are smarter than that and then to further require another charging item for my already over run charging cable drawer,others
410,item is opened and watching is not working,screen
411,i bought this watch because i am 67 years old totally disabled in a power chair and i fall a lot i also have heart problems which is why i bought it for that also unfortunately the batteries not even lasting 11 hours and it goes totally dead i have tried everything it is fully updated i disconnected it reconnected it shut things down and what good is it if i can not run the things that i need i always liked apple products but this watch it definitely needs a stronger battery or something else it is just not worth the money i paid for it if i could i would return it,battery
412,gave this to my husband for xmas and he loves it helps monitor heart rate and very nice looking when he wears it,strap
413,i love my apple watch,screen
414,i really like the series 7 i had the 6 so not much difference in overall functionality however the screen is noticeably larger more smoothed out and rounded i was a bit disappointed in what they are calling green while it is not black it is not black like navy blue is not black and yet is called blue the green is there but it is not even as green as the phones are but i would buy again regardless as i do really enjoy the larger size,screen
415,upgraded my apple watch 4 44mm to this 7 45mm and i am so glad i did bigger screen more flexibility love it,screen
416,love the watch i have wanted one for a while my fitbit versa held a charge for 2 1 2 days this apple watch has to be charged every night,battery
417,I had the 1 gen that I bought right when it launched and I've been wanting to update it for a while not because I don't like it or anything like that but because I wanted some of the new features like ecg and blood oxygen measurement to do exercises and it's really good to sweat applications like strava and already load everything by itself the screen is another positive point even though it is smaller than my previous one it is bigger in its field of vision the only negative point I give is because of the compatibility of the bracelets that in this series are not compatible with the ones I had and so I'll have to buy new ones which is not very cheap apple blunder in my opinion,screen
418,this is my first iwatch and gifted to me for my birthday main complaint is that the battery last less than a day probably only 12 hours i do minimal usage of the watch and do not find it useful after all that i have gone back to wearing my citizen solar watch for accurate team keeping the regular citizen watch is always there for what i need most time keeping i use iwatch in power save mode to show only time very disappointed with the purchase,battery
419,just bought two watches as gifts and can not use them or set them up because the phones needed updates and we did that but now the watches are dead and there is only a usb c cord but no block am i the only one who thinks it is insane to include a cord but no blocks well i guess i will just have to wait for the holidays to be over to have a chance to go buy a charging block and make my gifts useable again thanks apple,others
420,was excited to get my watch only to find out there is not a charging block to charge the watch so what good does it do if you can not charge it do not even know what to do now all this money spent ugh very disappointing,others
421,aside from monitoring heart rate which can be done much more simply and cheaply with other products this thing is utterly redundant every one of its functions is performed better by the phone you have in your pocket,others
422,best version of apple watch so far,screen
423,great as every apple product,others
424,have not even had it is month and the battery is already going extremely quick i thought it was going rather quick from the beginning and i guess i was right because now it will not even last a day it is also starting to freeze up on certain screens and if it is already starting to do that there is more and worse to come i will be retuning it,battery
425,i cannot give this a high enough rating it is fantastic the only down side is the 18 hour battery life between charging,battery
426,wear for my heart blood oxygen,strap
427,i think the watch is a little cumbersome but i purchased it for some safety features and i feel very confident of its use in this way good way to communicate with my contacts quickly and easily overall delighted with this product,others
428,show apple products are indisputable,screen
429,i like how big the screen is compared to my previous apple watch series 4 excellent battery life even with the always on display,screen
430,it was asking for the watch to be updated and would not pair with the phone,screen
431,i use this mainly to track my health walking sitting standing blood pressure and heart health it is perfect it helps to have an iphone in my opinion the set up is seamless this is not inexpensive by any any means but so worth the money,screen
432,received a defective watch whose display will not turn on even after 2hrs of charging it first amazon delivers it late second it does not turn on third the amazon app does not have a replacement option only return how will i get this watch back on thanksgiving deal that i purchased it on very bad experience with amazon,screen
433,had a series 4 for3 years supposedly charger magnet became dislodged by a possible power surge and unfixable battery on new phone lasts long and like the new features but should have a trade in at the least,battery
434,good watch working like it is suppose too i can not complain,screen
435,i upgraded from a series 3 and i love the watch wish the battery lasted a little longer but i love it,battery
436,great product need more battery life span,battery
437,the battery life i have to change it every night not very happy with this purchase,battery
438,they have two sizes for the bands inside the box medium large and small i liked this concept better because i could never find a band that would fit my wrist the screen is bigger than the previous generation and the keyboard is a nice touch when texting,screen
439,love the health app was easy to set up but a month in my battery just does not last a full day what is up with that,battery
440,good battery and it was just what I wanted for a long time,battery
441,watch is fine overall does all as expected the band however broke the second time i took it off see picture highly recommend buying at least 1 2 more bands when you purchase the watch to avoid the down time the cheaper bands appear to be higher quality than the one it comes with,strap
442,love my apple watch the apps great price too,screen
443,i returned with item because it was a duplicate send to me,screen
444,the sleep tracking is nice but not as detailed as i would like it the mobile app is very informative i love closing my rings the battery life lasts for about a day i changed my settings and turned off the always on because it was burning the battery really fast,battery
445,very good product good materials and finishes the stainless steel watch looks very elegant somewhat expensive but the sapphire screen is well worth it,screen
446,not to happy with the watch band that comes with it love the fact that i can keep in touch with my family and friends,strap
447,be aware that this watch comes with the charging chord but not the much needed charging block and it does not fit any normal iphone chargers very frustrating,others
448,apple watch would not work correctly since i have tattoos i like to watch it like the features i bought it mostly for the fitness tracking ability but since my tattoos are full sleeves on both arms it will not work correctly i could buy a an anklet but then you have to change the wrist band daily to much work,strap
449,display broken christmas day not even 24 hrs out of box,screen
450,great watch lasts long battery wise definitely helps to keep me on track bought the band separate,battery
451,first time i have purchased the apple watch and it indeed came in its original case shipped and sold from amazon exceeded expectation,screen
452,must beautiful watch apple ever made  wide screen less bezels and good battery can last for a complete day  valuable for money and surely it is the best smart watch in the market,screen
453,updated from a 2 to the 7 could not be happier,screen
454,enjoying my christmas gift great watch,screen
455,love it but i knew that i would there are a ton of great features to the watch the short band fit my wrist better and the additional accessories i bought fit nicely only downside was the late delivery,others
456,I used apple watch series 2 for almost 5 years I switched to 7 because I wanted to use the ecg and o2 meter the only unmet expectation was the battery which I thought could last a little longer but the display and touch accuracy on the digital crown screen are fine much more improved in series 7,battery
457,i went from a very old apple watch to this one so there was like fireworks and stuff going off in my head it is a great watch for the price all new fabulous features much longer battery life and it even does an ekg  no heart problems here according to my watch thank goodness,battery
458,have avoided the apple watch because of inaccurate heart rate readings from the wrist when exercising but the series 7 pairs with the polar h10 chest strap for very accurate readings connects through settings blue tooth health devices have not had any problems am very happy with this combination,strap
459,i was suspecious becuase this came in a amazon box then when i opened the box it came in the apple watch box but without the clear plastic packing over it but it did have the green pull tabs on it and it as not tampered with this is the real thing i love it so much,strap
460,i like the fact i can look at the face and see the time without having to touch it,screen
461,i am 73 years old the week after i purchased this watch i fell this watch immediately alerted to ask if i needed emergency help the emergency button was on screen available for me to press if i was injured or could not get up it requested confirmation that i did not need help i wish i had it earlier this year when i had broken my foot from a fall rather than hobbling to a phone i could have just pressed the emergency button thank you apple watch,screen
462,just got watch the other day have been reading up on them for several months and decided to finally purchase one really like the health features i was going in for some test and told my doctor about the new watch and he said it would help with us staying in contact with vitals that he wants to track cool,others
463,the battery should last longer,battery
464,paired to my iphone 7s plus effortlessly i get a little over a day on a charge with a good amount of use magnetic snap on charger so easy to use 45mm screen big enough to see and use touch entry comfy band quite user friendly after watching a video had it since christmas day and still love it,screen
465,battery life could be better,battery
466,husband wanted to track health and other mobile items this watch is fantastic for this it also looks cool and keeps great time,others
467,the best thing about this is the ecg oxygen saturation which is temperamental and only works some of the time fyi it is a lot of money for the convenience of having your phone on your wrist which is pretty much what it is friends have the cellular version mine is only gps and they think it is life changing i can still talk on mine as long as my phone is around across the room upstairs it still works i have not been able to figure out the sleep tracking upgraded from fitbit and gotta say their sleep tracking is superior in ease of use and results only cost dollar69 that also had heart rate tracking if you work where you can not use a phone i can see the work around of still having your phone but not it is a lot of money to skirt around the no phone rule maybe i am just old school am used to not looking at my phone every second of every day my review is meh i will not return it but i can see living with out it maybe that will change with time,strap
468,this apple watch is perfect it let is me know if my blood pressure is off and i can check my pulse ox especially with being in covid times,screen
469,this new iwatch 7 is great bpm gauge connectivity look make it outstanding i liked it,others
470,very good i want buy it sent to my sister too,others
